fecha,totales_confirmados,total_nuevos,muertes,recuperados
03/03/2020,1,1,0,
04/03/2020,1,0,0,
05/03/2020,2,1,0,
06/03/2020,8,6,0,
07/03/2020,8,1,1,
08/03/2020,11,3,1,
09/03/2020,17,6,1,
10/03/2020,19,2,1,
11/03/2020,21,2,1,
12/03/2020,31,10,1,
13/03/2020,34,3,2,
14/03/2020,45,11,2,
15/03/2020,45,11,2,
16/03/2020,65,20,2,
17/03/2020,79,14,2,
18/03/2020,97,18,3,11
19/03/2020,128,31,3,15
20/03/2020,158,30,3,21
21/03/2020,248,90,4,26
22/03/2020,266,18,4,28
23/03/2020,301,35,4,28
24/03/2020,387,86,6,52
25/03/2020,502,115,8,63
26/03/2020,589,87,12,70
27/03/2020,690,101,17,74
28/03/2020,745,55,19,78
29/03/2020,820,75,20,91
30/03/2020,966,146,24,228
31/03/2020,1054,88,27,240
01/04/2020,1133,79,32,248
02/04/2020,1265,132,36,256
03/04/2020,1353,88,42,266
04/04/2020,1451,98,43,279
05/04/2020,1554,103,46,280
06/04/2020,1628,74,54,325
07/04/2020,1715,87,60,338
08/04/2020,1795,80,65,358
09/04/2020,1894,99,79,365
10/04/2020,1975,81,82,375
11/04/2020,2142,167,89,440
12/04/2020,2208,69,95,468
13/04/2020,2277,66,98,515
14/04/2020,2443,166,105,559
15/04/2020,2571,128,112,596
